reportingEntity,facilityName,type,state,electricityProductionGJ,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,gridConnected,grid,primaryFuel,importantNotes
RIO TINTO LIMITED,Yurralyi Maya Power Station,F,WA,3518017.0,977227.0,527491,0.0,527491,0.54,On,NWIS,Gas,N/A
RIO TINTO LIMITED,Corporate Total,C,N/A,5571967.0,1547769.0,854271,0.0,854271,,N/A,N/A,N/A,N/A
ROYALLA HOLDINGS ASSET PTY LTD,Royalla Solar Farm,F,ACT,49475.0,13743.0,0,85.0,85,0.0,On,NEM,Solar,N/A
ROYALLA HOLDINGS ASSET PTY LTD,Corporate Total,C,N/A,49475.0,13743.0,0,85.0,85,,N/A,N/A,N/A,N/A
SANTOS LTD,Wilga Park Power Station,F,NSW,194465.0,54018.0,30404,175.0,30579,0.56,On,NEM,Coal Seam Methane,N/A
SANTOS LTD,Corporate Total,C,N/A,194465.0,54018.0,30404,175.0,30579,,N/A,N/A,N/A,N/A
SENVION HOLDINGS PTY LTD,Wonthaggi Wind Farm,F,VIC,102127.0,28369.0,5,0.0,5,0.0,On,NEM,Wind,N/A
SENVION HOLDINGS PTY LTD,Corporate Total,C,N/A,102127.0,28369.0,5,0.0,5,,N/A,N/A,N/A,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Musselroe Wind Farm Pty Ltd,F,TAS,1900382.0,527884.0,151,2881.0,3032,0.0,On,NEM,Wind,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Bluff point Wind Farm Pty Ltd,F,TAS,872765.0,242435.0,76,4756.0,4832,0.0,On,NEM,Wind,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Studland Bay Wind Farm Pty Ltd,F,TAS,1008270.0,280075.0,83,5486.0,5569,0.0,On,NEM,Wind,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Corporate Total,C,N/A,3781417.0,1050394.0,310,13123.0,13433,,N/A,N/A,N/A,N/A
SNOWTOWN SOUTH WIND FARM PTY. LTD.,SNOWTOWN SOUTH WIND FARM,F,SA,1538563.0,427379.0,47,148.0,195,0.0,On,NEM,Wind,N/A
SNOWTOWN SOUTH WIND FARM PTY. LTD.,Corporate Total,C,N/A,1538563.0,427379.0,47,148.0,195,,N/A,N/A,N/A,N/A
SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,F,SA,1229676.0,341577.0,0,202.0,202,0.0,On,NEM,Wind,N/A
SNOWTOWN WIND FARM PTY LTD,Corporate Total,C,N/A,1229676.0,341577.0,0,202.0,202,,N/A,N/A,N/A,N/A
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,SNOWTOWN WIND FARM STAGE 2,F,SA,1493388.0,414830.0,54,203.0,257,0.0,On,NEM,Wind,N/A
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,Corporate Total,C,N/A,1493388.0,414830.0,54,203.0,257,,N/A,N/A,N/A,N/A
SNOWY HYDRO LIMITED,Angaston Power Station,F,SA,5951.0,1653.0,895,569.0,1464,0.54,On,NEM,Liquid Fuel,N/A
SNOWY HYDRO LIMITED,Colongra Power Station,F,NSW,7027.0,1952.0,4646,2716.0,7362,2.38,On,NEM,Gas,N/A
SNOWY HYDRO LIMITED,HEZ Power Station,F,NSW,840.0,233.0,149,519.0,668,0.64,On,NEM,Diesel,N/A
SNOWY HYDRO LIMITED,Laverton North Power Station,F,VIC,4119.0,1144.0,1854,3292.0,5146,1.62,On,NEM,Gas,N/A
SNOWY HYDRO LIMITED,Lonsdale/Port Stanvac Power Station,F,SA,13511.0,3753.0,2083,307.0,2390,0.56,On,NEM,Diesel,N/A
SNOWY HYDRO LIMITED,Snowy Hydro Ltd,F,NSW,9322679.0,2589633.0,1312,113899.0,115211,0.0,On,NEM,Hydro,N/A
SNOWY HYDRO LIMITED,Valley Power,F,VIC,18715.0,5199.0,4314,2946.0,7260,0.83,On,NEM,Gas,N/A
SNOWY HYDRO LIMITED,Corporate Total,C,N/A,9372842.0,2603567.0,15253,124248.0,139501,,N/A,N/A,N/A,N/A
STANWELL CORPORATION LIMITED,Barron Gorge Power Station,F,QLD,625416.0,173727.0,206,638.0,844,0.0,On,NEM,Hydro,N/A
STANWELL CORPORATION LIMITED,Kareeya Power Station,F,QLD,1614214.0,448393.0,35,1213.0,1248,0.0,On,NEM,Hydro,N/A
STANWELL CORPORATION LIMITED,Mackay Gas Turbine,F,QLD,1049.0,291.0,332,3.0,335,1.14,On,NEM,Diesel,N/A
STANWELL CORPORATION LIMITED,Mica Creek Power Station,F,QLD,2316247.0,643402.0,307351,0.0,307351,0.48,On,Mt Isa,Gas,N/A
STANWELL CORPORATION LIMITED,Stanwell Power Station,F,QLD,31516125.0,8754479.0,7396349,6645.0,7402994,0.84,On,NEM,Black Coal,N/A
STANWELL CORPORATION LIMITED,Swanbank E Power Station,F,QLD,3430389.0,952886.0,341746,2663.0,344409,0.36,On,NEM,Gas,N/A
STANWELL CORPORATION LIMITED,Tarong Power Stations,F,QLD,27422475.0,7617354.0,6690964,38225.0,6729189,0.88,On,NEM,Black Coal,N/A
STANWELL CORPORATION LIMITED,Corporate Total,C,N/A,66925915.0,18590532.0,14736983,49387.0,14786370,,N/A,N/A,N/A,N/A
SYNERGEN POWER PTY LIMITED,Dry Creek Power Station,F,SA,17591.0,4886.0,6105,525.0,6630,1.25,On,NEM,Gas,N/A
SYNERGEN POWER PTY LIMITED,Mintaro Power Station,F,SA,25681.0,7134.0,5795,144.0,5939,0.81,On,NEM,Gas,N/A
SYNERGEN POWER PTY LIMITED,Port Lincoln Power Station,F,SA,1386.0,385.0,551,381.0,932,1.43,On,NEM,Diesel,N/A
SYNERGEN POWER PTY LIMITED,Snuggery Power Station,F,SA,1350.0,375.0,510,583.0,1093,1.36,On,NEM,Diesel,N/A
SYNERGEN POWER PTY LIMITED,Corporate Total,C,N/A,46008.0,12780.0,12961,1633.0,14594,,N/A,N/A,N/A,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,F,WA,581978.0,161661.0,103462,0.0,103462,0.64,On,SWIS,Gas,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,F,WA,651671.0,181020.0,114377,0.0,114377,0.63,On,SWIS,Gas,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,F,WA,1011064.0,280851.0,154478,0.0,154478,0.55,Off,Off-grid,Gas/Diesel,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,F,WA,1106066.0,307241.0,179213,0.0,179213,0.58,Off,Off-grid,Gas,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Solomon Power Station,F,WA,864667.0,240185.0,218293,0.0,218293,0.91,Off,Off-grid,Gas/Diesel,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,N/A,4215446.0,1170957.0,769823,0.0,769823,,N/A,N/A,N/A,N/A
WATER CORPORATION,Cocos Keeling Islands Generation,FA,WA,20311.0,5642.0,3886,0.0,3886,0.69,Off,Off-grid,Liquid Fuel,N/A
WATER CORPORATION,Corporate Total,C,N/A,20311.0,5642.0,3886,0.0,3886,,N/A,N/A,N/A,N/A
WORLEYPARSONS LIMITED,Exmouth Power Station,F,WA,81850.0,22736.0,15883,0.0,15883,0.7,Off,Off-grid,Gas,N/A
WORLEYPARSONS LIMITED,Corporate Total,C,N/A,81850.0,22736.0,15883,0.0,15883,,N/A,N/A,N/A,N/A
