facility_id,name,name_clean,state,network_region,fuel_type,status,capacity_mw,latitude,longitude,name_key
woolsthorpe-wind-farm-vic,Woolsthorpe Wind Farm,Woolsthorpe Wind Farm,VIC,VIC1,Wind,Probable,70.0,-38.1856495,142.4314251,woolsthorpe-wind-farm
east-rockingham-resource-recovery-facility-wa,East Rockingham Resource Recovery Facility,East Rockingham Resource Recovery Facility,WA,,Biomass,Committed,29.0,-15.7973483,128.6868128,east-rockingham-resource-recovery-facility
moorebank-logistics-park-nsw,Moorebank Logistics Park,Moorebank Logistics Park,NSW,NSW1,Solar,Committed,60.0,-33.9548342,150.9291037,moorebank-logistics-park
wangaratta-solar-farm-vic,Wangaratta Solar Farm,Wangaratta Solar Farm,VIC,VIC1,Solar,Committed,40.0,-36.356434,146.3228311,wangaratta-solar-farm
kidston-pumped-hydro-storage-project-qld,Kidston Pumped Hydro Storage Project,Kidston Pumped Hydro Storage Project,QLD,QLD1,Hydro,Committed,250.0,-18.8745956,144.1689025,kidston-pumped-hydro-storage-project
new-england-solar-farm-stage-2-nsw,New England Solar Farm - Stage 2,New England Solar Farm - Stage 2,NSW,NSW1,Solar,Committed,320.0,-32.6290018,151.8091421,new-england-solar-farm-stage-2
bellevue-gold-hybrid-power-station-wind-wa,Bellevue Gold Hybrid Power Station (Wind),Bellevue Gold Hybrid Power Station (Wind),WA,,Wind,Committed,24.0,-31.9015253,116.0288929,bellevue-gold-hybrid-power-station-wind
glenellen-solar-project-nsw,Glenellen solar project,Glenellen Solar Project,NSW,NSW1,Solar,Committed,200.0,-35.915,146.9177778,glenellen-solar-project
forest-glen-solar-farm-nsw,Forest Glen Solar Farm,Forest Glen Solar Farm,NSW,NSW1,Solar,Committed,90.0,-33.959283,151.062423,forest-glen-solar-farm
uungula-wind-farm-nsw,Uungula Wind Farm,Uungula Wind Farm,NSW,NSW1,Wind,Committed,414.0,-32.5450403,149.1970061,uungula-wind-farm
munna-creek-solar-farm-qld,Munna Creek Solar Farm,Munna Creek Solar Farm,QLD,QLD1,Solar,Committed,150.0,-25.881987,152.4509775,munna-creek-solar-farm
st-ives-gold-solar-farm-wa,St Ives Gold Solar Farm,St Ives Gold Solar Farm,WA,,Wind,Committed,77.0,-17.9616321,122.224029,st-ives-gold-solar-farm
gunsynd-solar-farm-qld,Gunsynd Solar Farm,Gunsynd Solar Farm,QLD,QLD1,Solar,Committed,94.0,-28.0979003,153.3662247,gunsynd-solar-farm
aldoga-solar-farm-qld,Aldoga Solar Farm,Aldoga Solar Farm,QLD,QLD1,Solar,Committed,380.0,-23.844797,151.0739806,aldoga-solar-farm
quorn-park-solar-hybrid-nsw,Quorn Park Solar Hybrid,Quorn Park Solar Hybrid,NSW,NSW1,Solar,Committed,98.0,-33.0809644,148.0922033,quorn-park-solar-hybrid
golden-plains-wind-farm-stage-2-vic,Golden Plains Wind Farm - Stage 2,Golden Plains Wind Farm - Stage 2,VIC,VIC1,Wind,Committed,574.0,-37.8396942,143.6385369,golden-plains-wind-farm-stage-2
lotus-creek-wind-farm-qld,Lotus Creek Wind Farm,Lotus Creek Wind Farm,QLD,QLD1,Wind,Committed,285.0,-27.4321408,153.0403258,lotus-creek-wind-farm
goorambat-solar-farm-vic,Goorambat Solar Farm,Goorambat Solar Farm,VIC,VIC1,Solar,Committed,250.0,-36.4141675,145.9531843,goorambat-solar-farm
broadsound-solar-farm-qld,Broadsound Solar Farm,Broadsound Solar Farm,QLD,QLD1,Solar,Committed,376.0,-21.1471903,149.1729172,broadsound-solar-farm
boulder-creek-wind-farm-qld,Boulder Creek Wind Farm,Boulder Creek Wind Farm,QLD,QLD1,Wind,Committed,228.0,-23.6710175,150.3134101,boulder-creek-wind-farm
horsham-solar-farm-vic,Horsham Solar Farm,Horsham Solar Farm,VIC,VIC1,Solar,Committed,118.8,-36.7148099,142.2018105,horsham-solar-farm
carwarp-energy-park-vic,Carwarp Energy Park,Carwarp Energy Park,VIC,VIC1,Solar,Committed,171.0,-34.4571108,142.1972835,carwarp-energy-park
goulburn-river-solar-farm-nsw,Goulburn River Solar Farm,Goulburn River Solar Farm,NSW,NSW1,Solar,Committed,450.0,-34.7523871,149.7198009,goulburn-river-solar-farm
wambo-wind-farm-stage-2-qld,Wambo Wind Farm Stage 2,Wambo Wind Farm Stage 2,QLD,QLD1,Wind,Committed,254.0,-26.63629,151.2709429,wambo-wind-farm-stage-2
warradarge-wind-farm-stage-2-wa,Warradarge Wind Farm Stage 2,Warradarge Wind Farm Stage 2,WA,,Wind,Committed,108.0,-30.04778,115.3242,warradarge-wind-farm-stage-2
